"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action","treatment.initial","ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome","state_idx"
0,1,0,0,0,0,"dry",0,2755.42687427732,0,0,0,0,2
1,1,0,0,0,0,"dry",5976.62903988232,0,0,0,0,0,3
0,0,1,0,0,0,"dry",0,0,1502.20700313119,0,0,0,4
0,0,1,1,0,0,"wet",0,0,0,2030.67844694714,0,0,12
0,1,1,1,0,0,"wet",0,3742.9676508044,0,0,0,0,14
0,1,0,0,1,0,"dry",0,0,0,0,5072.11153581888,0,18
1,1,0,0,1,0,"dry",0,0,0,0,5072.11153581888,0,19
0,0,0,1,1,0,"wet",0,0,0,0,8614.48470697596,0,24
1,1,0,1,1,0,"wet",0,2701.35187468275,0,0,4176.34574853526,0,27
0,0,1,1,1,0,"dry",0,0,0,387.177162777096,4877.09164380973,0,28
1,0,1,1,1,0,"wet",2953.3891618733,0,0,0,8391.21142810233,0,29
0,1,1,1,1,0,"dry",0,0,0,387.177162777096,4877.09164380973,0,30
1,1,1,1,1,0,"dry",0,0,0,387.177162777096,4877.09164380973,0,31
1,0,0,0,0,1,"wet",10074.5859884317,0,0,0,0,69.2863079044862,33
0,0,1,0,0,1,"dry",0,0,720.933983618679,0,0,3494.1090391444,36
1,0,1,0,0,1,"dry",5357.77775471681,0,0,0,0,3267.30581840922,37
0,1,1,0,0,1,"wet",0,3742.9676508044,0,0,0,0,38
1,1,1,0,0,1,"dry",5357.77775471681,0,0,0,0,3267.30581840922,39
1,0,0,1,0,1,"dry",4922.35590061265,0,0,278.821257961259,0,3027.14141695288,41
0,1,0,1,0,1,"dry",0,2058.02976968146,0,460.046093961935,0,3167.5274791838,42
1,1,0,1,0,1,"wet",0,3742.9676508044,0,0,0,0,43
1,0,1,1,0,1,"dry",4922.35590061265,0,0,278.821257961259,0,3027.14141695288,45
0,0,0,0,1,1,"wet",0,0,0,0,8541.21650090317,177.448724115955,48
1,0,0,0,1,1,"wet",2953.3891618733,0,0,0,8391.21142810233,0,49
1,1,0,0,1,1,"dry",0,0,0,0,5072.11153581888,0,51
1,0,1,0,1,1,"dry",0,0,0,0,5072.11153581888,0,53
0,1,1,0,1,1,"wet",0,2701.35187468276,0,0,4176.34574853526,0,54
1,1,1,0,1,1,"dry",0,0,0,0,5072.11153581888,0,55
1,0,0,1,1,1,"wet",2953.38916187329,0,0,0,8391.21142810233,0,57
0,1,0,1,1,1,"dry",0,0,0,387.177162777096,4877.09164380973,0,58
1,1,0,1,1,1,"wet",0,2701.35187468275,0,0,4176.34574853526,0,59
1,0,0,1,0,0,"dry",5487.54449852134,0,0,283.560254190435,0,0,9
