"ACWR.action","FEMI.action","HOMU.action","PLER.action","SACO.action","URLI.action","treatment.initial","ACWR.outcome","FEMI.outcome","HOMU.outcome","PLER.outcome","SACO.outcome","URLI.outcome","state_idx"
0,1,0,0,0,0,"wet",0,3742.9676508044,0,0,0,0,2
0,0,1,0,0,0,"dry",0,0,1502.20700313119,0,0,0,4
0,0,0,1,0,0,"dry",0,0,0,855.75979903007,0,0,8
1,1,1,1,1,0,"wet",0,2701.35187468275,0,0,4176.34574853526,0,31
0,0,0,0,0,1,"wet",0,0,0,0,0,8130.19921373607,32
1,1,1,0,1,1,"wet",0,2701.35187468275,0,0,4176.34574853526,0,55
1,1,0,1,1,1,"dry",0,0,0,387.177162777096,4877.09164380973,0,59
1,0,1,1,1,1,"dry",0,0,0,387.177162777096,4877.09164380973,0,61
0,1,1,1,1,1,"wet",0,2701.35187468276,0,0,4176.34574853526,0,62
1,0,0,0,0,0,"dry",5976.62903988232,0,0,0,0,0,1
