"a","b","c","d","e","f","g","h","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","feasible.and.stable","state_idx"
1,0,0,0,0,0,0,0,1,0.13045,0,0,0,0,0,0,0,NA,1
1,0,0,0,0,0,0,0,1,0.14444,0,0,0,0,0,0,0,NA,1
0,1,0,0,0,0,0,0,1,0,0.07246,0,0,0,0,0,0,NA,2
0,1,0,0,0,0,0,0,1,0,0.07483,0,0,0,0,0,0,NA,2
0,0,1,0,0,0,0,0,1,0,0,0.07866,0,0,0,0,0,NA,4
0,0,1,0,0,0,0,0,1,0,0,0.08225,0,0,0,0,0,NA,4
0,0,0,1,0,0,0,0,1,0,0,0,0.00392,0,0,0,0,NA,8
0,0,0,1,0,0,0,0,1,0,0,0,0.00260999999999999,0,0,0,0,NA,8
0,0,0,0,1,0,0,0,1,0,0,0,0,0.06077,0,0,0,NA,16
0,0,0,0,1,0,0,0,1,0,0,0,0,0.0602,0,0,0,NA,16
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.14085,0,0,NA,32
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.13934,0,0,NA,32
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.10036,0,NA,64
0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.10323,0,NA,64
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.14385,NA,128
0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.14588,NA,128
1,1,0,0,0,0,0,0,2,0.0435788571429,0.0950811428571,0,0,0,0,0,0,NA,3
1,1,0,0,0,0,0,0,2,0.055836,0.130284,0,0,0,0,0,0,NA,3
1,0,1,0,0,0,0,0,2,0.0439822222222222,0,0.0920877777777778,0,0,0,0,0,NA,5
1,0,1,0,0,0,0,0,2,0.0437924468085106,0,0.0889975531914894,0,0,0,0,0,NA,5
1,0,0,1,0,0,0,0,2,0.121701418439716,0,0,0.0481985815602837,0,0,0,0,NA,9
1,0,0,1,0,0,0,0,2,0.103393333333333,0,0,0.0516966666666667,0,0,0,0,NA,9
1,0,0,0,1,0,0,0,2,0.0608336842105263,0,0,0,0.0595663157894737,0,0,0,NA,17
1,0,0,0,1,0,0,0,2,0.0535505454545454,0,0,0,0.0691694545454545,0,0,0,NA,17
1,0,0,0,0,1,0,0,2,0.00236316666666667,0,0,0,0,0.139426833333333,0,0,NA,33
1,0,0,0,0,1,0,0,2,0.00738848484848485,0,0,0,0,0.114521515151515,0,0,NA,33
1,0,0,0,0,0,1,0,2,0.00549066666666667,0,0,0,0,0,0.0974593333333333,0,NA,65
1,0,0,0,0,0,1,0,2,0.00521788732394366,0,0,0,0,0,0.118272112676056,0,NA,65
1,0,0,0,0,0,0,1,2,0.120278796992481,0,0,0,0,0,0,0.000911203007518797,NA,129
