"LP.outcome","LB.outcome","AP.outcome","AT.outcome","AO.outcome"
224000,0,0,0,0
134000,0,0,0,0
125000,0,0,0,0
107000,0,0,0,0
358000,0,0,0,0
17886,0,0,0,0
116000,0,0,0,0
537000,0,0,0,0
179000,0,0,0,0
125000,0,0,0,0
268000,0,0,0,0
268000,0,0,0,0
268000,0,0,0,0
447000,0,0,0,0
224000,0,0,0,0
259000,0,0,0,0
268000,0,0,0,0
537000,0,0,0,0
161000,0,0,0,0
358000,0,0,0,0
224000,0,0,0,0
8942.8,0,0,0,0
71543,0,0,0,0
250000,0,0,0,0
259000,0,0,0,0
447000,0,0,0,0
17886,0,0,0,0
447000,0,0,0,0
313000,0,0,0,0
179000,0,0,0,0
268000,0,0,0,0
134000,0,0,0,0
268000,0,0,0,0
358000,0,0,0,0
179000,0,0,0,0
197000,0,0,0,0
44714,0,0,0,0
152000,0,0,0,0
537000,0,0,0,0
8942.8,0,0,0,0
447000,0,0,0,0
17886,0,0,0,0
152000,0,0,0,0
447000,0,0,0,0
62600,0,0,0,0
98371,0,0,0,0
268000,0,0,0,0
358000,0,0,0,0
0,77928,0,0,0
0,2e+05,0,0,0
0,334000,0,0,0
0,668000,0,0,0
0,44530,0,0,0
0,668000,0,0,0
0,668000,0,0,0
0,668000,0,0,0
0,668000,0,0,0
0,445000,0,0,0
0,557000,0,0,0
0,134000,0,0,0
0,22265,0,0,0
0,668000,0,0,0
0,445000,0,0,0
0,557000,0,0,0
0,668000,0,0,0
0,668000,0,0,0
0,557000,0,0,0
0,245000,0,0,0
0,668000,0,0,0
0,367000,0,0,0
0,423000,0,0,0
0,668000,0,0,0
0,668000,0,0,0
0,668000,0,0,0
0,33398,0,0,0
0,445000,0,0,0
0,334000,0,0,0
0,668000,0,0,0
0,111000,0,0,0
0,668000,0,0,0
0,668000,0,0,0
0,278000,0,0,0
0,668000,0,0,0
0,668000,0,0,0
0,11133,0,0,0
0,557000,0,0,0
0,668000,0,0,0
0,557000,0,0,0
0,334000,0,0,0
0,668000,0,0,0
0,668000,0,0,0
0,468000,0,0,0
0,267000,0,0,0
0,445000,0,0,0
0,668000,0,0,0
0,557000,0,0,0
0,0,0,0,0
0,0,49063,0,0
0,0,65417,0,0
0,0,0,0,0
0,0,0,0,0
0,0,16354,0,0
0,0,0,0,0
0,0,0,0,0
0,0,16354,0,0
0,0,49063,0,0
0,0,0,0,0
0,0,818000,0,0
0,0,491000,0,0
0,0,327000,0,0
0,0,114000,0,0
0,0,131000,0,0
0,0,0,0,0
0,0,0,0,0
0,0,49063,0,0
0,0,0,0,0
0,0,491000,0,0
0,0,16354,0,0
0,0,16354,0,0
0,0,327000,0,0
0,0,818000,0,0
0,0,16354,0,0
0,0,32708,0,0
0,0,0,0,0
0,0,16354,0,0
0,0,32708,0,0
0,0,49063,0,0
0,0,0,0,0
0,0,0,0,0
0,0,16354,0,0
0,0,16354,0,0
0,0,0,0,0
0,0,0,0,0
0,0,65417,0,0
0,0,81771,0,0
0,0,16354,0,0
0,0,114000,0,0
0,0,49063,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,327000,0,0
0,0,0,213000,0
0,0,0,393000,0
0,0,0,65417,0
0,0,0,16354,0
0,0,0,311000,0
0,0,0,294000,0
0,0,0,147000,0
0,0,0,16354,0
0,0,0,32708,0
0,0,0,294000,0
0,0,0,131000,0
0,0,0,818000,0
0,0,0,491000,0
0,0,0,32708,0
0,0,0,474000,0
0,0,0,343000,0
0,0,0,572000,0
0,0,0,16354,0
0,0,0,0,0
0,0,0,16354,0
0,0,0,393000,0
0,0,0,376000,0
0,0,0,81771,0
0,0,0,147000,0
0,0,0,147000,0
0,0,0,654000,0
0,0,0,687000,0
0,0,0,0,0
0,0,0,311000,0
0,0,0,409000,0
0,0,0,164000,0
0,0,0,98125,0
0,0,0,32708,0
0,0,0,245000,0
0,0,0,98125,0
0,0,0,0,0
0,0,0,409000,0
0,0,0,0,0
0,0,0,0,0
0,0,0,16354,0
0,0,0,0,0
0,0,0,654000,0
0,0,0,180000,0
0,0,0,0,141000
0,0,0,0,62737
0,0,0,0,235000
0,0,0,0,94105
0,0,0,0,70579
0,0,0,0,47052
0,0,0,0,196000
0,0,0,0,471000
0,0,0,0,549000
0,0,0,0,235000
0,0,0,0,314000
0,0,0,0,196000
0,0,0,0,157000
0,0,0,0,259000
0,0,0,0,125000
0,0,0,0,149000
0,0,0,0,471000
0,0,0,0,165000
0,0,0,0,706000
0,0,0,0,86263
0,0,0,0,706000
0,0,0,0,62737
0,0,0,0,70579
0,0,0,0,361000
0,0,0,0,471000
0,0,0,0,235000
0,0,0,0,392000
0,0,0,0,706000
0,0,0,0,235000
0,0,0,0,510000
0,0,0,0,706000
0,0,0,0,118000
0,0,0,0,290000
0,0,0,0,235000
0,0,0,0,471000
0,0,0,0,196000
0,0,0,0,31368
0,0,0,0,392000
0,0,0,0,706000
0,0,0,0,314000
0,0,0,0,627000
0,0,0,0,118000
0,0,0,0,39210
0,0,0,0,196000
0,0,0,0,157000
0,0,0,0,78421
0,0,0,0,62737
0,0,0,0,188000
313000,11133,0,0,0
179000,89061,0,0,0
197000,122000,0,0,0
35771,490000,0,0,0
107000,1e+05,0,0,0
134000,668000,0,0,0
447000,668000,0,0,0
537000,167000,0,0,0
358000,668000,0,0,0
89428,278000,0,0,0
80485,278000,0,0,0
107000,89061,0,0,0
89428,0,0,0,0
35771,390000,0,0,0
62600,44530,0,0,0
286000,334000,0,0,0
89428,0,0,0,0
0,55663,0,0,0
268000,0,0,0,0
537000,223000,0,0,0
17886,445000,0,0,0
537000,66796,0,0,0
537000,0,0,0,0
206000,0,0,0,0
197000,668000,0,0,0
0,0,0,0,0
268000,55663,0,0,0
206000,11133,0,0,0
224000,55663,0,0,0
179000,1e+05,0,0,0
447000,55663,0,0,0
53657,223000,0,0,0
80485,22265,0,0,0
179000,89061,0,0,0
537000,66796,0,0,0
313000,668000,0,0,0
358000,557000,0,0,0
17886,33398,0,0,0
224000,167000,0,0,0
537000,22265,0,0,0
0,189000,0,0,0
107000,668000,0,0,0
71543,0,0,0,0
179000,0,0,0,0
8942.8,0,0,0,0
179000,167000,0,0,0
179000,167000,0,0,0
447000,490000,0,0,0
313000,0,409000,0,0
331000,0,16354,0,0
134000,0,164000,0,0
268000,0,229000,0,0
537000,0,32708,0,0
134000,0,458000,0,0
80485,0,0,0,0
241000,0,65417,0,0
179000,0,196000,0,0
98371,0,32708,0,0
358000,0,32708,0,0
179000,0,98125,0,0
537000,0,818000,0,0
17886,0,0,0,0
313000,0,294000,0,0
179000,0,458000,0,0
161000,0,16354,0,0
152000,0,213000,0,0
179000,0,229000,0,0
53657,0,0,0,0
268000,0,0,0,0
358000,0,262000,0,0
197000,0,49063,0,0
241000,0,16354,0,0
134000,0,0,0,0
268000,0,294000,0,0
340000,0,0,0,0
134000,0,736000,0,0
268000,0,294000,0,0
447000,0,65417,0,0
313000,0,654000,0,0
537000,0,818000,0,0
35771,0,32708,0,0
206000,0,213000,0,0
152000,0,98125,0,0
358000,0,245000,0,0
134000,0,32708,0,0
8942.8,0,32708,0,0
179000,0,376000,0,0
537000,0,654000,0,0
358000,0,65417,0,0
537000,0,98125,0,0
107000,0,0,98125,0
80485,0,0,0,0
447000,0,0,65417,0
268000,0,0,262000,0
537000,0,0,491000,0
286000,0,0,16354,0
358000,0,0,654000,0
206000,0,0,16354,0
170000,0,0,491000,0
224000,0,0,294000,0
411000,0,0,81771,0
447000,0,0,654000,0
179000,0,0,114000,0
447000,0,0,245000,0
107000,0,0,32708,0
170000,0,0,164000,0
8942.8,0,0,32708,0
224000,0,0,65417,0
358000,0,0,98125,0
17886,0,0,0,0
53657,0,0,16354,0
447000,0,0,540000,0
233000,0,0,81771,0
206000,0,0,213000,0
71543,0,0,0,0
358000,0,0,0,0
17886,0,0,16354,0
447000,0,0,491000,0
134000,0,0,278000,0
358000,0,0,245000,0
358000,0,0,98125,0
313000,0,0,491000,0
80485,0,0,16354,0
224000,0,0,818000,0
44714,0,0,16354,0
537000,0,0,311000,0
224000,0,0,294000,0
143000,0,0,81771,0
268000,0,0,343000,0
358000,0,0,294000,0
233000,0,0,32708,0
89428,0,0,0,0
35771,0,0,16354,0
358000,0,0,180000,0
152000,0,0,147000,0
71543,0,0,81771,0
134000,0,0,0,267000
179000,0,0,0,235000
537000,0,0,0,165000
537000,0,0,0,667000
447000,0,0,0,235000
224000,0,0,0,196000
358000,0,0,0,274000
