"LP.action","LB.action","AP.action","AT.action","AO.action","environment.initial","LP.outcome","LB.outcome","AP.outcome","AT.outcome","AO.outcome","state_idx"
1,0,0,0,0,0,268000,0,0,0,0,1
1,0,0,0,0,0,125000,0,0,0,0,1
1,0,0,0,0,0,268000,0,0,0,0,1
1,0,0,0,0,0,62600,0,0,0,0,1
1,0,0,0,0,0,44714,0,0,0,0,1
1,0,0,0,0,0,134000,0,0,0,0,1
1,0,0,0,0,0,447000,0,0,0,0,1
1,0,0,0,0,0,268000,0,0,0,0,1
1,0,0,0,0,0,71543,0,0,0,0,1
1,0,0,0,0,0,447000,0,0,0,0,1
1,0,0,0,0,0,179000,0,0,0,0,1
1,0,0,0,0,0,17886,0,0,0,0,1
1,0,0,0,0,0,447000,0,0,0,0,1
1,0,0,0,0,0,161000,0,0,0,0,1
1,0,0,0,0,0,358000,0,0,0,0,1
1,0,0,0,0,0,197000,0,0,0,0,1
1,0,0,0,0,0,447000,0,0,0,0,1
1,0,0,0,0,0,8942.8,0,0,0,0,1
1,0,0,0,0,0,125000,0,0,0,0,1
1,0,0,0,0,0,224000,0,0,0,0,1
1,0,0,0,0,0,268000,0,0,0,0,1
1,0,0,0,0,0,537000,0,0,0,0,1
1,0,0,0,0,0,224000,0,0,0,0,1
1,0,0,0,0,0,358000,0,0,0,0,1
1,0,0,0,0,0,17886,0,0,0,0,1
1,0,0,0,0,0,447000,0,0,0,0,1
1,0,0,0,0,0,268000,0,0,0,0,1
1,0,0,0,0,0,537000,0,0,0,0,1
1,0,0,0,0,0,259000,0,0,0,0,1
1,0,0,0,0,0,313000,0,0,0,0,1
1,0,0,0,0,0,537000,0,0,0,0,1
1,0,0,0,0,0,98371,0,0,0,0,1
1,0,0,0,0,0,107000,0,0,0,0,1
1,0,0,0,0,0,134000,0,0,0,0,1
1,0,0,0,0,0,179000,0,0,0,0,1
1,0,0,0,0,0,224000,0,0,0,0,1
1,0,0,0,0,0,250000,0,0,0,0,1
1,0,0,0,0,0,268000,0,0,0,0,1
1,0,0,0,0,0,358000,0,0,0,0,1
1,0,0,0,0,0,8942.8,0,0,0,0,1
1,0,0,0,0,0,152000,0,0,0,0,1
1,0,0,0,0,0,17886,0,0,0,0,1
1,0,0,0,0,0,179000,0,0,0,0,1
1,0,0,0,0,0,268000,0,0,0,0,1
1,0,0,0,0,0,116000,0,0,0,0,1
1,0,0,0,0,0,152000,0,0,0,0,1
1,0,0,0,0,0,259000,0,0,0,0,1
1,0,0,0,0,0,358000,0,0,0,0,1
0,1,0,0,0,0,0,668000,0,0,0,2
0,1,0,0,0,0,0,668000,0,0,0,2
0,1,0,0,0,0,0,668000,0,0,0,2
0,1,0,0,0,0,0,557000,0,0,0,2
0,1,0,0,0,0,0,668000,0,0,0,2
0,1,0,0,0,0,0,445000,0,0,0,2
0,1,0,0,0,0,0,33398,0,0,0,2
0,1,0,0,0,0,0,445000,0,0,0,2
0,1,0,0,0,0,0,668000,0,0,0,2
0,1,0,0,0,0,0,11133,0,0,0,2
0,1,0,0,0,0,0,668000,0,0,0,2
0,1,0,0,0,0,0,668000,0,0,0,2
0,1,0,0,0,0,0,445000,0,0,0,2
0,1,0,0,0,0,0,557000,0,0,0,2
0,1,0,0,0,0,0,278000,0,0,0,2
0,1,0,0,0,0,0,557000,0,0,0,2
0,1,0,0,0,0,0,423000,0,0,0,2
0,1,0,0,0,0,0,668000,0,0,0,2
0,1,0,0,0,0,0,668000,0,0,0,2
0,1,0,0,0,0,0,668000,0,0,0,2
0,1,0,0,0,0,0,668000,0,0,0,2
0,1,0,0,0,0,0,77928,0,0,0,2
0,1,0,0,0,0,0,668000,0,0,0,2
0,1,0,0,0,0,0,267000,0,0,0,2
0,1,0,0,0,0,0,668000,0,0,0,2
0,1,0,0,0,0,0,22265,0,0,0,2
0,1,0,0,0,0,0,668000,0,0,0,2
0,1,0,0,0,0,0,445000,0,0,0,2
0,1,0,0,0,0,0,245000,0,0,0,2
0,1,0,0,0,0,0,44530,0,0,0,2
0,1,0,0,0,0,0,134000,0,0,0,2
0,1,0,0,0,0,0,668000,0,0,0,2
0,1,0,0,0,0,0,557000,0,0,0,2
0,1,0,0,0,0,0,557000,0,0,0,2
0,1,0,0,0,0,0,334000,0,0,0,2
0,1,0,0,0,0,0,334000,0,0,0,2
0,1,0,0,0,0,0,668000,0,0,0,2
0,1,0,0,0,0,0,367000,0,0,0,2
0,1,0,0,0,0,0,2e+05,0,0,0,2
0,1,0,0,0,0,0,668000,0,0,0,2
0,1,0,0,0,0,0,468000,0,0,0,2
0,1,0,0,0,0,0,334000,0,0,0,2
0,1,0,0,0,0,0,668000,0,0,0,2
0,1,0,0,0,0,0,557000,0,0,0,2
0,1,0,0,0,0,0,668000,0,0,0,2
0,1,0,0,0,0,0,668000,0,0,0,2
0,1,0,0,0,0,0,111000,0,0,0,2
0,1,0,0,0,0,0,668000,0,0,0,2
0,0,1,0,0,0,0,0,16354,0,0,4
0,0,1,0,0,0,0,0,32708,0,0,4
0,0,1,0,0,0,0,0,0,0,0,4
0,0,1,0,0,0,0,0,0,0,0,4
0,0,1,0,0,0,0,0,131000,0,0,4
0,0,1,0,0,0,0,0,0,0,0,4
0,0,1,0,0,0,0,0,16354,0,0,4
0,0,1,0,0,0,0,0,0,0,0,4
0,0,1,0,0,0,0,0,16354,0,0,4
0,0,1,0,0,0,0,0,16354,0,0,4
0,0,1,0,0,0,0,0,49063,0,0,4
0,0,1,0,0,0,0,0,16354,0,0,4
0,0,1,0,0,0,0,0,32708,0,0,4
0,0,1,0,0,0,0,0,491000,0,0,4
0,0,1,0,0,0,0,0,0,0,0,4
0,0,1,0,0,0,0,0,0,0,0,4
0,0,1,0,0,0,0,0,327000,0,0,4
0,0,1,0,0,0,0,0,0,0,0,4
0,0,1,0,0,0,0,0,0,0,0,4
0,0,1,0,0,0,0,0,818000,0,0,4
0,0,1,0,0,0,0,0,81771,0,0,4
0,0,1,0,0,0,0,0,0,0,0,4
0,0,1,0,0,0,0,0,327000,0,0,4
0,0,1,0,0,0,0,0,114000,0,0,4
0,0,1,0,0,0,0,0,49063,0,0,4
0,0,1,0,0,0,0,0,65417,0,0,4
0,0,1,0,0,0,0,0,818000,0,0,4
0,0,1,0,0,0,0,0,49063,0,0,4
0,0,1,0,0,0,0,0,0,0,0,4
0,0,1,0,0,0,0,0,0,0,0,4
0,0,1,0,0,0,0,0,16354,0,0,4
0,0,1,0,0,0,0,0,0,0,0,4
0,0,1,0,0,0,0,0,16354,0,0,4
0,0,1,0,0,0,0,0,0,0,0,4
0,0,1,0,0,0,0,0,49063,0,0,4
0,0,1,0,0,0,0,0,16354,0,0,4
0,0,1,0,0,0,0,0,0,0,0,4
0,0,1,0,0,0,0,0,491000,0,0,4
0,0,1,0,0,0,0,0,327000,0,0,4
0,0,1,0,0,0,0,0,16354,0,0,4
0,0,1,0,0,0,0,0,49063,0,0,4
0,0,1,0,0,0,0,0,0,0,0,4
0,0,1,0,0,0,0,0,114000,0,0,4
0,0,1,0,0,0,0,0,0,0,0,4
0,0,1,0,0,0,0,0,0,0,0,4
0,0,1,0,0,0,0,0,0,0,0,4
0,0,1,0,0,0,0,0,65417,0,0,4
0,0,1,0,0,0,0,0,0,0,0,4
0,0,0,1,0,0,0,0,0,245000,0,8
0,0,0,1,0,0,0,0,0,147000,0,8
0,0,0,1,0,0,0,0,0,81771,0,8
0,0,0,1,0,0,0,0,0,131000,0,8
0,0,0,1,0,0,0,0,0,0,0,8
0,0,0,1,0,0,0,0,0,16354,0,8
0,0,0,1,0,0,0,0,0,654000,0,8
0,0,0,1,0,0,0,0,0,393000,0,8
0,0,0,1,0,0,0,0,0,294000,0,8
0,0,0,1,0,0,0,0,0,654000,0,8
0,0,0,1,0,0,0,0,0,409000,0,8
0,0,0,1,0,0,0,0,0,147000,0,8
0,0,0,1,0,0,0,0,0,0,0,8
0,0,0,1,0,0,0,0,0,213000,0,8
0,0,0,1,0,0,0,0,0,393000,0,8
0,0,0,1,0,0,0,0,0,491000,0,8
0,0,0,1,0,0,0,0,0,311000,0,8
0,0,0,1,0,0,0,0,0,0,0,8
0,0,0,1,0,0,0,0,0,180000,0,8
0,0,0,1,0,0,0,0,0,311000,0,8
0,0,0,1,0,0,0,0,0,164000,0,8
0,0,0,1,0,0,0,0,0,0,0,8
0,0,0,1,0,0,0,0,0,376000,0,8
0,0,0,1,0,0,0,0,0,474000,0,8
0,0,0,1,0,0,0,0,0,16354,0,8
0,0,0,1,0,0,0,0,0,98125,0,8
0,0,0,1,0,0,0,0,0,16354,0,8
0,0,0,1,0,0,0,0,0,65417,0,8
0,0,0,1,0,0,0,0,0,409000,0,8
0,0,0,1,0,0,0,0,0,32708,0,8
0,0,0,1,0,0,0,0,0,16354,0,8
