"a","b","c","d","e","f","g","h","i","j","k","stable","feasible","richness","a.star","b.star","c.star","d.star","e.star","f.star","g.star","h.star","i.star","j.star","k.star"
0,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,TRUE,TRUE,1,1.79406317020862,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,TRUE,TRUE,1,0,2.95766993993708,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,TRUE,TRUE,2,3.75682052932353,6.48196802788041,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,TRUE,TRUE,1,0,0,3.50423145050187,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,0,0,0,0,0,FALSE,FALSE,1,0,0,10.0053476415426,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,FALSE,FALSE,1,0,383.742621719985,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,TRUE,TRUE,1,0,0,0,0.649696240601504,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0,0,0,TRUE,TRUE,2,2.05840496549527,0,0,0.24207634120881,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,TRUE,TRUE,2,0,3.06280969210226,0,0.0798386201737921,0,0,0,0,0,0,0
1,1,0,1,0,0,0,0,0,0,0,FALSE,FALSE,2,2.41702220291555,4.37773494534063,0,0,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0,0,TRUE,TRUE,2,0,0,3.50450545882355,0.0606863667341503,0,0,0,0,0,0,0
1,0,1,1,0,0,0,0,0,0,0,FALSE,FALSE,2,11.8017637158334,0,22.9192634971433,0,0,0,0,0,0,0,0
0,1,1,1,0,0,0,0,0,0,0,FALSE,FALSE,2,0,0,7.31826670953845,1.09413234111152,0,0,0,0,0,0,0
1,1,1,1,0,0,0,0,0,0,0,FALSE,FALSE,1,0,69.5726687724917,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,TRUE,TRUE,1,0,0,0,0,1.00056450930029,0,0,0,0,0,0
1,0,0,0,1,0,0,0,0,0,0,TRUE,TRUE,2,1.11328578973298,0,0,0,0.775245822482138,0,0,0,0,0,0
